category,exemplar,typicality_rating,rank
birds,eagle,16.9259259259259,12
birds,dove,18.1428571428571,4
birds,duck,12.7857142857142,23
birds,magpie,17.8928571428571,7
birds,pheasant,13.7142857142857,21
birds,vulture,15.1428571428571,20
birds,rooster,11.0714285714285,29
birds,turkey,11.6785714285714,26
birds,canary,17.8928571428571,8
birds,chicken,11.5714285714285,27
birds,cuckoo,16.0,15
birds,crow,18.1071428571428,5
birds,chickadee,17.1071428571428,11
birds,seagull,17.9642857142857,6
birds,blackbird,18.8214285714285,2
birds,sparrow,19.1785714285714,1
birds,stork,15.3928571428571,19
birds,parrot,15.8571428571428,17
birds,parakeet,17.6428571428571,10
birds,peacock,12.2857142857142,25
birds,pelican,12.5714285714285,24
birds,penguin,8.64285714285714,30
birds,heron,16.1071428571428,14
birds,robin,18.3214285714285,3
birds,woodpecker,16.4285714285714,13
birds,ostrich,11.2142857142857,28
birds,owl,16.0,16
birds,falcon,15.5,18
birds,swan,12.8214285714285,22
birds,swallow,17.8571428571428,9
fish,anchovy,13.1428571428571,18
fish,dolphin,9.17857142857142,23
fish,trout,17.8928571428571,4
fish,goldfish,18.8928571428571,1
fish,shark,13.2142857142857,17
fish,herring,17.0714285714285,5
fish,squid,10.6785714285714,19
fish,cod,18.1071428571428,3
fish,carp,16.0,7
fish,orca,9.85714285714285,22
fish,eel,15.6785714285714,9
fish,piranha,15.3214285714285,11
fish,plaice,15.9615384615384,8
fish,flatfish,14.3214285714285,16
fish,sperm whale,9.89285714285714,21
fish,ray,14.5,15
fish,sardine,15.5357142857142,10
fish,pike,16.2857142857142,6
fish,stickleback,14.75,13
fish,sole,15.1428571428571,12
fish,whale,10.4285714285714,20
fish,salmon,18.3928571428571,2
fish,swordfish,14.6428571428571,14
insects,bee,17.0714285714285,5
insects,leech,11.3571428571428,25
insects,horsefly,15.92,13
insects,centipede,13.7857142857142,20
insects,fruit fly,16.25,11
insects,bumblebee,15.8571428571428,14
insects,cockroach,16.9642857142857,7
insects,beetle,16.25,12
insects,cricket,16.3214285714285,10
insects,dragonfly,16.3571428571428,9
insects,ladybug,15.3928571428571,15
insects,louse,13.3214285714285,23
insects,cockchafer,15.0357142857142,16
insects,ant,17.0,6
insects,moth,14.6785714285714,17
insects,mosquito,18.3928571428571,1
insects,earwig,13.8928571428571,19
insects,wood louse,17.2857142857142,3
insects,caterpillar,14.1785714285714,18
insects,spider,12.25,24
insects,grasshopper,16.6071428571428,8
insects,fly,18.2142857142857,2
insects,butterfly,13.3928571428571,22
insects,flee,13.6071428571428,21
insects,wasp,17.25,4
insects,worm,10.1785714285714,26
mammals,monkey,17.9285714285714,3
mammals,beaver,14.0,28
mammals,bison,15.1428571428571,19
mammals,dromedary,14.4285714285714,27
mammals,squirrel,14.5714285714285,25
mammals,hedgehog,13.1785714285714,29
mammals,donkey,16.8214285714285,11
mammals,giraffe,15.9642857142857,17
mammals,hamster,14.5714285714285,26
mammals,deer,16.5357142857142,13
mammals,dog,18.5357142857142,1
mammals,polar bear,15.1428571428571,20
mammals,kangaroo,14.75,22
mammals,cat,18.5357142857142,2
mammals,cow,17.6071428571428,5
mammals,rabbit,16.6428571428571,12
mammals,llama,14.6428571428571,23
mammals,lion,17.6785714285714,4
mammals,mouse,15.6785714285714,18
mammals,rhinoceros,15.1428571428571,21
mammals,hippopotamus,14.6071428571428,24
mammals,elephant,16.25,14
mammals,horse,17.5357142857142,6
mammals,sheep,17.4285714285714,7
mammals,tiger,17.0714285714285,9
mammals,pig,17.1785714285714,8
mammals,bat,10.8571428571428,30
mammals,fox,16.25,15
mammals,wolf,17.0357142857142,10
mammals,zebra,16.0357142857142,16
reptiles,viper,13.5555555555555,15
reptiles,alligator,16.4285714285714,5
reptiles,boa,13.8571428571428,13
reptiles,cobra,13.9285714285714,11
reptiles,dinosaur,11.9642857142857,17
reptiles,gecko,14.44,8
reptiles,lizard,17.6785714285714,1
reptiles,blindworm,5.13636363636363,20
reptiles,caiman,13.76,14
reptiles,chameleon,16.6428571428571,4
reptiles,frog,11.4074074074074,18
reptiles,crocodile,17.4642857142857,2
reptiles,iguana,17.0357142857142,3
reptiles,toad,11.1071428571428,19
reptiles,python,13.9642857142857,10
reptiles,salamander,13.9285714285714,12
reptiles,tortoise,15.1785714285714,7
reptiles,snake,15.9285714285714,6
reptiles,monitor lizard,14.4230769230769,9
reptiles,turtle,13.3214285714285,16
