exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
eagle,birds,16.9259259259259,12,0.47435897435897434,2
dove,birds,18.1428571428571,4,0.6101694915254238,2
duck,birds,12.7857142857142,23,0.5063291139240507,2
magpie,birds,17.8928571428571,7,0.7450980392156863,2
pheasant,birds,13.7142857142857,21,0.6779661016949152,2
vulture,birds,15.1428571428571,20,0.5263157894736842,2
rooster,birds,11.0714285714285,29,0.5625,2
turkey,birds,11.6785714285714,26,0.5076923076923077,2
canary,birds,17.8928571428571,8,,
chicken,birds,11.5714285714285,27,,
cuckoo,birds,16.0,15,0.7450980392156863,2
crow,birds,18.1071428571428,5,0.7037037037037037,2
chickadee,birds,17.1071428571428,11,0.8979591836734694,2
seagull,birds,17.9642857142857,6,0.5873015873015873,2
blackbird,birds,18.8214285714285,2,0.8541666666666666,2
sparrow,birds,19.1785714285714,1,1.0,2
stork,birds,15.3928571428571,19,0.5211267605633803,2
parrot,birds,15.8571428571428,17,0.6666666666666666,2
parakeet,birds,17.6428571428571,10,0.7017543859649122,2
peacock,birds,12.2857142857142,25,0.6428571428571429,2
pelican,birds,12.5714285714285,24,0.5362318840579711,2
penguin,birds,8.64285714285714,30,0.38666666666666666,2
heron,birds,16.1071428571428,14,0.5138888888888888,2
robin,birds,18.3214285714285,3,0.86,2
woodpecker,birds,16.4285714285714,13,0.7592592592592593,2
ostrich,birds,11.2142857142857,28,0.43037974683544306,2
owl,birds,16.0,16,0.6323529411764706,2
falcon,birds,15.5,18,0.547945205479452,2
swan,birds,12.8214285714285,22,0.4852941176470588,2
swallow,birds,17.8571428571428,9,0.7407407407407407,2
anchovy,fish,13.1428571428571,18,0.864406779661017,3
dolphin,fish,9.17857142857142,23,0.5875,3
trout,fish,17.8928571428571,4,0.9322033898305084,3
goldfish,fish,18.8928571428571,1,0.6619718309859155,3
shark,fish,13.2142857142857,17,0.5977011494252874,3
herring,fish,17.0714285714285,5,0.8813559322033898,3
squid,fish,10.6785714285714,19,0.68,3
cod,fish,18.1071428571428,3,0.85,3
carp,fish,16.0,7,0.9344262295081968,3
orca,fish,9.85714285714285,22,0.5053763440860215,3
eel,fish,15.6785714285714,9,0.8208955223880597,3
piranha,fish,15.3214285714285,11,0.7083333333333334,3
plaice,fish,15.9615384615384,8,0.8225806451612904,3
flatfish,fish,14.3214285714285,16,0.8253968253968254,3
sperm whale,fish,9.89285714285714,21,0.6455696202531646,3
ray,fish,14.5,15,0.828125,3
sardine,fish,15.5357142857142,10,0.8813559322033898,3
pike,fish,16.2857142857142,6,1.0,3
stickleback,fish,14.75,13,0.9333333333333333,3
sole,fish,15.1428571428571,12,0.8833333333333333,3
whale,fish,10.4285714285714,20,0.5164835164835165,3
salmon,fish,18.3928571428571,2,0.9152542372881356,3
